timestamp,machine_id,temperature,vibration,pressure,rpm,current,failure
2025-12-28 10:02:23.315089,CNC_01,59.57,0.242,120.85,1528.2,9.57,0
2025-12-28 10:07:23.315089,CNC_01,60.12,0.246,121.82,1490.0,9.8,0
2025-12-28 10:12:23.315089,CNC_01,61.73,0.313,114.9,1513.9,9.94,0
2025-12-28 10:17:23.315089,CNC_01,60.17,0.247,116.88,1491.3,10.14,0
2025-12-28 10:22:23.315089,CNC_01,59.92,0.356,115.57,1525.4,10.5,0
2025-12-28 10:27:23.315089,CNC_01,59.38,0.246,120.35,1479.3,9.92,0
2025-12-28 10:32:23.315089,CNC_01,59.16,0.254,118.63,1504.9,10.05,0
2025-12-28 10:37:23.315089,CNC_01,61.8,0.291,121.26,1483.8,9.36,0
2025-12-28 10:42:23.315089,CNC_01,63.0,0.342,119.64,1512.8,9.69,0
2025-12-28 10:47:23.315089,CNC_01,59.64,0.258,120.65,1525.2,10.64,0
2025-12-28 10:52:23.315089,CNC_01,61.42,0.305,120.72,1509.6,10.1,0
2025-12-28 10:57:23.315089,CNC_01,61.91,0.291,118.55,1528.6,9.74,0
2025-12-28 11:02:23.315089,CNC_01,60.74,0.358,120.05,1492.5,10.38,0
2025-12-28 11:07:23.315089,CNC_01,62.47,0.293,119.89,1478.6,10.09,0
2025-12-28 11:12:23.315089,CNC_01,63.68,0.289,117.56,1515.5,10.7,0
2025-12-28 11:17:23.315089,CNC_01,63.37,0.304,118.1,1525.5,10.43,0
2025-12-28 11:22:23.315089,CNC_01,60.8,0.39,118.39,1490.4,10.16,0
2025-12-28 11:27:23.315089,CNC_01,61.72,0.432,118.37,1455.3,10.49,0
2025-12-28 11:32:23.315089,CNC_01,60.19,0.418,117.59,1498.3,10.47,0
2025-12-28 11:37:23.315089,CNC_01,59.86,0.375,118.85,1525.2,9.8,0
2025-12-28 11:42:23.315089,CNC_01,60.37,0.342,119.0,1500.9,10.03,0
2025-12-28 11:47:23.315089,CNC_01,61.47,0.458,115.92,1516.6,11.35,0
2025-12-28 11:52:23.315089,CNC_01,62.67,0.442,120.31,1492.0,11.08,0
2025-12-28 11:57:23.315089,CNC_01,60.19,0.473,117.9,1501.7,10.59,0
2025-12-28 12:02:23.315089,CNC_01,63.42,0.472,118.59,1504.1,10.75,0
2025-12-28 12:07:23.315089,CNC_01,60.52,0.386,121.65,1495.9,10.27,0
2025-12-28 12:12:23.315089,CNC_01,63.73,0.468,117.2,1502.0,10.47,0
2025-12-28 12:17:23.315089,CNC_01,62.27,0.436,118.01,1483.8,11.07,0
2025-12-28 12:22:23.315089,CNC_01,62.83,0.492,117.75,1534.7,10.93,0
2025-12-28 12:27:23.315089,CNC_01,63.86,0.427,116.09,1456.2,10.12,0
2025-12-28 12:32:23.315089,CNC_01,62.83,0.432,116.75,1491.4,10.91,0
2025-12-28 12:37:23.315089,CNC_01,63.49,0.448,120.36,1527.5,12.09,0
2025-12-28 12:42:23.315089,CNC_01,61.39,0.463,117.95,1522.0,10.71,0
2025-12-28 12:47:23.315089,CNC_01,63.17,0.577,115.36,1532.6,10.78,0
2025-12-28 12:52:23.315089,CNC_01,65.15,0.514,118.0,1519.6,10.9,0
2025-12-28 12:57:23.315089,CNC_01,62.05,0.514,118.68,1558.4,11.37,0
2025-12-28 13:02:23.315089,CNC_01,62.21,0.5,116.76,1499.9,9.45,0
2025-12-28 13:07:23.315089,CNC_01,62.22,0.541,118.7,1498.9,10.7,0
2025-12-28 13:12:23.315089,CNC_01,63.67,0.551,119.57,1538.7,10.17,0
2025-12-28 13:17:23.315089,CNC_01,64.02,0.519,114.42,1530.7,9.94,0
2025-12-28 13:22:23.315089,CNC_01,62.14,0.554,114.63,1558.0,10.07,0
2025-12-28 13:27:23.315089,CNC_01,63.96,0.479,118.41,1510.1,10.73,0
2025-12-28 13:32:23.315089,CNC_01,62.35,0.63,117.78,1497.2,10.35,0
2025-12-28 13:37:23.315089,CNC_01,63.53,0.641,117.32,1511.5,10.07,0
2025-12-28 13:42:23.315089,CNC_01,64.33,0.637,117.56,1528.6,11.27,0
2025-12-28 13:47:23.315089,CNC_01,62.46,0.692,116.56,1505.9,10.48,0
2025-12-28 13:52:23.315089,CNC_01,63.65,0.663,114.97,1514.3,10.55,0
2025-12-28 13:57:23.315089,CNC_01,62.56,0.637,118.48,1564.1,10.92,0
2025-12-28 14:02:23.315089,CNC_01,61.91,0.724,115.84,1496.0,10.69,0
2025-12-28 14:07:23.315089,CNC_01,65.17,0.675,118.45,1512.4,9.78,0
2025-12-28 14:12:23.315089,CNC_01,64.96,0.572,116.34,1524.8,11.55,0
2025-12-28 14:17:23.315089,CNC_01,61.95,0.811,117.34,1542.1,11.62,0
2025-12-28 14:22:23.315089,CNC_01,64.68,0.695,118.57,1559.6,10.99,0
2025-12-28 14:27:23.315089,CNC_01,63.36,0.676,118.15,1529.8,10.6,0
2025-12-28 14:32:23.315089,CNC_01,62.5,0.767,114.7,1550.0,10.9,0
2025-12-28 14:37:23.315089,CNC_01,62.0,0.744,119.81,1532.0,11.22,0
2025-12-28 14:42:23.315089,CNC_01,63.8,0.725,120.23,1487.5,11.74,0
2025-12-28 14:47:23.315089,CNC_01,64.34,0.733,113.77,1529.0,11.49,0
2025-12-28 14:52:23.315089,CNC_01,64.98,0.755,115.55,1498.8,10.8,0
2025-12-28 14:57:23.315089,CNC_01,67.12,0.75,116.15,1532.3,10.9,0
2025-12-28 15:02:23.315089,CNC_01,63.14,0.731,117.08,1510.5,10.28,0
2025-12-28 15:07:23.315089,CNC_01,64.29,0.767,117.91,1526.6,10.56,0
2025-12-28 15:12:23.315089,CNC_01,64.46,0.836,118.33,1537.5,11.06,0
2025-12-28 15:17:23.315089,CNC_01,64.26,0.738,116.91,1539.2,11.49,0
2025-12-28 15:22:23.315089,CNC_01,62.65,0.768,118.6,1532.9,10.9,0
2025-12-28 15:27:23.315089,CNC_01,64.81,0.744,115.95,1535.2,11.83,0
2025-12-28 15:32:23.315089,CNC_01,63.68,0.737,113.1,1521.4,11.84,0
2025-12-28 15:37:23.315089,CNC_01,62.59,0.828,117.72,1507.9,11.51,0
2025-12-28 15:42:23.315089,CNC_01,63.08,0.762,115.54,1539.4,11.17,0
2025-12-28 15:47:23.315089,CNC_01,65.63,0.812,116.7,1521.6,11.27,0
2025-12-28 15:52:23.315089,CNC_01,66.22,0.884,120.33,1516.5,11.63,0
2025-12-28 15:57:23.315089,CNC_01,64.98,0.833,114.8,1525.8,10.83,0
2025-12-28 16:02:23.315089,CNC_01,64.7,0.78,118.02,1496.2,10.26,0
2025-12-28 16:07:23.315089,CNC_01,65.25,0.807,116.91,1506.2,12.14,0
2025-12-28 16:12:23.315089,CNC_01,64.88,0.846,116.47,1511.1,11.41,0
2025-12-28 16:17:23.315089,CNC_01,64.98,0.841,115.99,1540.6,12.22,0
2025-12-28 16:22:23.315089,CNC_01,65.11,0.882,114.85,1546.5,10.74,0
2025-12-28 16:27:23.315089,CNC_01,65.08,0.852,114.31,1541.5,11.55,0
